year,region_clean,causa_nombre,defunciones
2002,Magallanes y de la Antártica Chilena,Endocrine/Metabolic,49
2002,Magallanes y de la Antártica Chilena,Genitourinary diseases,30
2002,Magallanes y de la Antártica Chilena,Infectious diseases,18
2002,Magallanes y de la Antártica Chilena,Mental disorders,29
2002,Magallanes y de la Antártica Chilena,Nervous system,15
2002,Magallanes y de la Antártica Chilena,Perinatal conditions,9
2002,Magallanes y de la Antártica Chilena,Respiratory diseases,82
2002,Magallanes y de la Antártica Chilena,Symptoms (unclassified),15
2002,Magallanes y de la Antártica Chilena,Tumors (Cancer),246
2002,Maule,Circulatory diseases,1631
2002,Maule,Congenital malformations,54
2002,Maule,Digestive diseases,337
2002,Maule,Endocrine/Metabolic,259
2002,Maule,Genitourinary diseases,111
2002,Maule,Infectious diseases,101
2002,Maule,Mental disorders,154
2002,Maule,Nervous system,120
2002,Maule,Perinatal conditions,44
2002,Maule,Respiratory diseases,590
2002,Maule,Symptoms (unclassified),133
2002,Maule,Tumors (Cancer),1252
2002,Región Metropolitana de Santiago,Circulatory diseases,8172
2002,Región Metropolitana de Santiago,Congenital malformations,394
2002,Región Metropolitana de Santiago,Digestive diseases,2485
2002,Región Metropolitana de Santiago,Endocrine/Metabolic,1567
2002,Región Metropolitana de Santiago,Genitourinary diseases,772
2002,Región Metropolitana de Santiago,Infectious diseases,693
2002,Región Metropolitana de Santiago,Mental disorders,1022
2002,Región Metropolitana de Santiago,Nervous system,792
2002,Región Metropolitana de Santiago,Perinatal conditions,297
2002,Región Metropolitana de Santiago,Respiratory diseases,2868
2002,Región Metropolitana de Santiago,Symptoms (unclassified),612
2002,Región Metropolitana de Santiago,Tumors (Cancer),7750
2002,Tarapacá,Circulatory diseases,232
2002,Tarapacá,Congenital malformations,28
2002,Tarapacá,Digestive diseases,94
2002,Tarapacá,Endocrine/Metabolic,43
2002,Tarapacá,Genitourinary diseases,23
2002,Tarapacá,Infectious diseases,28
2002,Tarapacá,Mental disorders,49
2002,Tarapacá,Nervous system,20
2002,Tarapacá,Perinatal conditions,10
2002,Tarapacá,Respiratory diseases,80
2002,Tarapacá,Symptoms (unclassified),20
2002,Tarapacá,Tumors (Cancer),286
2002,Valparaíso,Circulatory diseases,3033
2002,Valparaíso,Congenital malformations,74
2002,Valparaíso,Digestive diseases,668
2002,Valparaíso,Endocrine/Metabolic,396
2002,Valparaíso,Genitourinary diseases,318
2002,Valparaíso,Infectious diseases,211
2002,Valparaíso,Mental disorders,273
2002,Valparaíso,Nervous system,235
2002,Valparaíso,Perinatal conditions,77
2002,Valparaíso,Respiratory diseases,813
2002,Valparaíso,Symptoms (unclassified),166
2002,Valparaíso,Tumors (Cancer),2391
2002,Ñuble,Circulatory diseases,853
2002,Ñuble,Congenital malformations,25
2002,Ñuble,Digestive diseases,274
2002,Ñuble,Endocrine/Metabolic,126
2002,Ñuble,Genitourinary diseases,67
2002,Ñuble,Infectious diseases,54
2002,Ñuble,Mental disorders,113
2002,Ñuble,Nervous system,65
2002,Ñuble,Perinatal conditions,23
2002,Ñuble,Respiratory diseases,206
2002,Ñuble,Symptoms (unclassified),76
2002,Ñuble,Tumors (Cancer),591
2003,Aisén del General Carlos Ibáñez del Campo,Circulatory diseases,79
2003,Aisén del General Carlos Ibáñez del Campo,Digestive diseases,35
2003,Aisén del General Carlos Ibáñez del Campo,Endocrine/Metabolic,15
2003,Aisén del General Carlos Ibáñez del Campo,Genitourinary diseases,10
2003,Aisén del General Carlos Ibáñez del Campo,Infectious diseases,5
2003,Aisén del General Carlos Ibáñez del Campo,Mental disorders,16
2003,Aisén del General Carlos Ibáñez del Campo,Nervous system,12
2003,Aisén del General Carlos Ibáñez del Campo,Perinatal conditions,11
2003,Aisén del General Carlos Ibáñez del Campo,Respiratory diseases,41
2003,Aisén del General Carlos Ibáñez del Campo,Symptoms (unclassified),19
2003,Aisén del General Carlos Ibáñez del Campo,Tumors (Cancer),107
2003,Antofagasta,Circulatory diseases,590
2003,Antofagasta,Congenital malformations,30
2003,Antofagasta,Digestive diseases,196
2003,Antofagasta,Endocrine/Metabolic,115
2003,Antofagasta,Genitourinary diseases,70
2003,Antofagasta,Infectious diseases,43
2003,Antofagasta,Mental disorders,83
2003,Antofagasta,Nervous system,38
2003,Antofagasta,Perinatal conditions,39
2003,Antofagasta,Respiratory diseases,175
2003,Antofagasta,Symptoms (unclassified),61
2003,Antofagasta,Tumors (Cancer),716
2003,Arica y Parinacota,Circulatory diseases,229
2003,Arica y Parinacota,Congenital malformations,15
2003,Arica y Parinacota,Digestive diseases,89
2003,Arica y Parinacota,Endocrine/Metabolic,63
2003,Arica y Parinacota,Genitourinary diseases,28
2003,Arica y Parinacota,Infectious diseases,31
2003,Arica y Parinacota,Mental disorders,15
2003,Arica y Parinacota,Nervous system,18
2003,Arica y Parinacota,Perinatal conditions,8
2003,Arica y Parinacota,Respiratory diseases,86
2003,Arica y Parinacota,Symptoms (unclassified),24
2003,Arica y Parinacota,Tumors (Cancer),233
2003,Atacama,Circulatory diseases,303
2003,Atacama,Congenital malformations,14
2003,Atacama,Digestive diseases,64
2003,Atacama,Endocrine/Metabolic,48
2003,Atacama,Genitourinary diseases,26
2003,Atacama,Infectious diseases,41
2003,Atacama,Mental disorders,21
2003,Atacama,Nervous system,26
2003,Atacama,Perinatal conditions,17
2003,Atacama,Respiratory diseases,135
2003,Atacama,Symptoms (unclassified),53
2003,Atacama,Tumors (Cancer),306
2003,Bío-Bío,Circulatory diseases,2146
2003,Bío-Bío,Congenital malformations,87
2003,Bío-Bío,Digestive diseases,732
2003,Bío-Bío,Endocrine/Metabolic,333
2003,Bío-Bío,Genitourinary diseases,205
2003,Bío-Bío,Infectious diseases,182
2003,Bío-Bío,Mental disorders,262
2003,Bío-Bío,Nervous system,185
2003,Bío-Bío,Perinatal conditions,87
2003,Bío-Bío,Respiratory diseases,649
2003,Bío-Bío,Symptoms (unclassified),176
2003,Bío-Bío,Tumors (Cancer),1957
2003,Coquimbo,Circulatory diseases,867
2003,Coquimbo,Congenital malformations,32
2003,Coquimbo,Digestive diseases,197
2003,Coquimbo,Endocrine/Metabolic,124
2003,Coquimbo,Genitourinary diseases,72
2003,Coquimbo,Infectious diseases,84
2003,Coquimbo,Mental disorders,45
2003,Coquimbo,Nervous system,62
2003,Coquimbo,Perinatal conditions,36
2003,Coquimbo,Respiratory diseases,312
2003,Coquimbo,Symptoms (unclassified),113
2003,Coquimbo,Tumors (Cancer),838
2003,La Araucanía,Circulatory diseases,1415
2003,La Araucanía,Congenital malformations,63
2003,La Araucanía,Digestive diseases,336
2003,La Araucanía,Endocrine/Metabolic,194
2003,La Araucanía,Genitourinary diseases,120
2003,La Araucanía,Infectious diseases,107
2003,La Araucanía,Mental disorders,159
2003,La Araucanía,Nervous system,127
2003,La Araucanía,Perinatal conditions,36
2003,La Araucanía,Respiratory diseases,492
2003,La Araucanía,Symptoms (unclassified),491
2003,La Araucanía,Tumors (Cancer),1288
2003,Libertador General Bernardo O'Higgins,Circulatory diseases,1310
2003,Libertador General Bernardo O'Higgins,Congenital malformations,51
2003,Libertador General Bernardo O'Higgins,Digestive diseases,381
2003,Libertador General Bernardo O'Higgins,Endocrine/Metabolic,223
2003,Libertador General Bernardo O'Higgins,Genitourinary diseases,100
2003,Libertador General Bernardo O'Higgins,Infectious diseases,82
2003,Libertador General Bernardo O'Higgins,Mental disorders,129
2003,Libertador General Bernardo O'Higgins,Nervous system,90
2003,Libertador General Bernardo O'Higgins,Perinatal conditions,49
2003,Libertador General Bernardo O'Higgins,Respiratory diseases,473
2003,Libertador General Bernardo O'Higgins,Symptoms (unclassified),166
2003,Libertador General Bernardo O'Higgins,Tumors (Cancer),994
2003,Los Lagos,Circulatory diseases,1082
2003,Los Lagos,Congenital malformations,53
2003,Los Lagos,Digestive diseases,290
2003,Los Lagos,Endocrine/Metabolic,193
2003,Los Lagos,Genitourinary diseases,117
2003,Los Lagos,Infectious diseases,89
2003,Los Lagos,Mental disorders,133
2003,Los Lagos,Nervous system,90
2003,Los Lagos,Perinatal conditions,23
2003,Los Lagos,Respiratory diseases,446
2003,Los Lagos,Symptoms (unclassified),265
2003,Los Lagos,Tumors (Cancer),992
2003,Los Ríos,Circulatory diseases,672
2003,Los Ríos,Congenital malformations,27
2003,Los Ríos,Digestive diseases,144
2003,Los Ríos,Endocrine/Metabolic,102
2003,Los Ríos,Genitourinary diseases,57
2003,Los Ríos,Infectious diseases,46
2003,Los Ríos,Mental disorders,59
2003,Los Ríos,Nervous system,49
2003,Los Ríos,Perinatal conditions,14
2003,Los Ríos,Respiratory diseases,228
2003,Los Ríos,Symptoms (unclassified),68
2003,Los Ríos,Tumors (Cancer),553
2003,Magallanes y de la Antártica Chilena,Circulatory diseases,308
2003,Magallanes y de la Antártica Chilena,Congenital malformations,10
2003,Magallanes y de la Antártica Chilena,Digestive diseases,88
2003,Magallanes y de la Antártica Chilena,Endocrine/Metabolic,51
2003,Magallanes y de la Antártica Chilena,Genitourinary diseases,25
2003,Magallanes y de la Antártica Chilena,Infectious diseases,18
2003,Magallanes y de la Antártica Chilena,Mental disorders,33
2003,Magallanes y de la Antártica Chilena,Nervous system,29
2003,Magallanes y de la Antártica Chilena,Perinatal conditions,6
2003,Magallanes y de la Antártica Chilena,Respiratory diseases,73
2003,Magallanes y de la Antártica Chilena,Symptoms (unclassified),10
2003,Magallanes y de la Antártica Chilena,Tumors (Cancer),207
2003,Maule,Circulatory diseases,1654
2003,Maule,Congenital malformations,58
2003,Maule,Digestive diseases,418
2003,Maule,Endocrine/Metabolic,247
2003,Maule,Genitourinary diseases,135
2003,Maule,Infectious diseases,105
2003,Maule,Mental disorders,126
2003,Maule,Nervous system,110
2003,Maule,Perinatal conditions,41
2003,Maule,Respiratory diseases,493
2003,Maule,Symptoms (unclassified),127
2003,Maule,Tumors (Cancer),1299
2003,Región Metropolitana de Santiago,Circulatory diseases,8846
2003,Región Metropolitana de Santiago,Congenital malformations,342
2003,Región Metropolitana de Santiago,Digestive diseases,2538
2003,Región Metropolitana de Santiago,Endocrine/Metabolic,1761
2003,Región Metropolitana de Santiago,Genitourinary diseases,870
2003,Región Metropolitana de Santiago,Infectious diseases,700
2003,Región Metropolitana de Santiago,Mental disorders,1080
2003,Región Metropolitana de Santiago,Nervous system,828
2003,Región Metropolitana de Santiago,Perinatal conditions,287
2003,Región Metropolitana de Santiago,Respiratory diseases,2759
2003,Región Metropolitana de Santiago,Symptoms (unclassified),521
2003,Región Metropolitana de Santiago,Tumors (Cancer),7916
2003,Tarapacá,Circulatory diseases,236
2003,Tarapacá,Congenital malformations,17
2003,Tarapacá,Digestive diseases,96
2003,Tarapacá,Endocrine/Metabolic,51
2003,Tarapacá,Genitourinary diseases,27
2003,Tarapacá,Infectious diseases,33
2003,Tarapacá,Mental disorders,51
2003,Tarapacá,Nervous system,41
2003,Tarapacá,Perinatal conditions,5
2003,Tarapacá,Respiratory diseases,69
2003,Tarapacá,Symptoms (unclassified),27
2003,Tarapacá,Tumors (Cancer),247
2003,Valparaíso,Circulatory diseases,3188
2003,Valparaíso,Congenital malformations,82
2003,Valparaíso,Digestive diseases,720
2003,Valparaíso,Endocrine/Metabolic,483
2003,Valparaíso,Genitourinary diseases,344
2003,Valparaíso,Infectious diseases,182
2003,Valparaíso,Mental disorders,316
2003,Valparaíso,Nervous system,247
2003,Valparaíso,Perinatal conditions,59
2003,Valparaíso,Respiratory diseases,799
2003,Valparaíso,Symptoms (unclassified),196
2003,Valparaíso,Tumors (Cancer),2491
2003,Ñuble,Circulatory diseases,844
2003,Ñuble,Congenital malformations,35
2003,Ñuble,Digestive diseases,277
2003,Ñuble,Endocrine/Metabolic,145
2003,Ñuble,Genitourinary diseases,61
2003,Ñuble,Infectious diseases,59
2003,Ñuble,Mental disorders,125
2003,Ñuble,Nervous system,56
2003,Ñuble,Perinatal conditions,20
2003,Ñuble,Respiratory diseases,202
2003,Ñuble,Symptoms (unclassified),59
2003,Ñuble,Tumors (Cancer),658
2004,Aisén del General Carlos Ibáñez del Campo,Circulatory diseases,106
2004,Aisén del General Carlos Ibáñez del Campo,Congenital malformations,6
2004,Aisén del General Carlos Ibáñez del Campo,Digestive diseases,28
2004,Aisén del General Carlos Ibáñez del Campo,Endocrine/Metabolic,16
2004,Aisén del General Carlos Ibáñez del Campo,Genitourinary diseases,10
2004,Aisén del General Carlos Ibáñez del Campo,Infectious diseases,9
2004,Aisén del General Carlos Ibáñez del Campo,Mental disorders,13
2004,Aisén del General Carlos Ibáñez del Campo,Nervous system,6
2004,Aisén del General Carlos Ibáñez del Campo,Perinatal conditions,5
2004,Aisén del General Carlos Ibáñez del Campo,Respiratory diseases,40
2004,Aisén del General Carlos Ibáñez del Campo,Symptoms (unclassified),23
2004,Aisén del General Carlos Ibáñez del Campo,Tumors (Cancer),98
2004,Antofagasta,Circulatory diseases,609
2004,Antofagasta,Congenital malformations,28
2004,Antofagasta,Digestive diseases,188
2004,Antofagasta,Endocrine/Metabolic,106
2004,Antofagasta,Genitourinary diseases,62
2004,Antofagasta,Infectious diseases,41
2004,Antofagasta,Mental disorders,88
2004,Antofagasta,Nervous system,53
2004,Antofagasta,Perinatal conditions,25
2004,Antofagasta,Respiratory diseases,187
2004,Antofagasta,Symptoms (unclassified),49
2004,Antofagasta,Tumors (Cancer),715
2004,Arica y Parinacota,Circulatory diseases,210
2004,Arica y Parinacota,Congenital malformations,12
2004,Arica y Parinacota,Digestive diseases,80
2004,Arica y Parinacota,Endocrine/Metabolic,55
2004,Arica y Parinacota,Genitourinary diseases,36
2004,Arica y Parinacota,Infectious diseases,38
2004,Arica y Parinacota,Mental disorders,18
2004,Arica y Parinacota,Nervous system,45
2004,Arica y Parinacota,Perinatal conditions,11
2004,Arica y Parinacota,Respiratory diseases,79
2004,Arica y Parinacota,Symptoms (unclassified),28
2004,Arica y Parinacota,Tumors (Cancer),237
2004,Atacama,Circulatory diseases,305
2004,Atacama,Congenital malformations,19
2004,Atacama,Digestive diseases,79
2004,Atacama,Endocrine/Metabolic,59
2004,Atacama,Genitourinary diseases,30
2004,Atacama,Infectious diseases,30
2004,Atacama,Mental disorders,13
2004,Atacama,Nervous system,28
2004,Atacama,Perinatal conditions,17
2004,Atacama,Respiratory diseases,156
2004,Atacama,Symptoms (unclassified),46
2004,Atacama,Tumors (Cancer),289
2004,Bío-Bío,Circulatory diseases,2011
2004,Bío-Bío,Congenital malformations,87
2004,Bío-Bío,Digestive diseases,651
2004,Bío-Bío,Endocrine/Metabolic,310
2004,Bío-Bío,Genitourinary diseases,171
2004,Bío-Bío,Infectious diseases,143
2004,Bío-Bío,Mental disorders,238
2004,Bío-Bío,Nervous system,176
2004,Bío-Bío,Perinatal conditions,103
2004,Bío-Bío,Respiratory diseases,629
2004,Bío-Bío,Symptoms (unclassified),160
2004,Bío-Bío,Tumors (Cancer),1722
2004,Coquimbo,Circulatory diseases,911
2004,Coquimbo,Congenital malformations,43
2004,Coquimbo,Digestive diseases,215
2004,Coquimbo,Endocrine/Metabolic,157
2004,Coquimbo,Genitourinary diseases,81
2004,Coquimbo,Infectious diseases,89
2004,Coquimbo,Mental disorders,58
2004,Coquimbo,Nervous system,72
2004,Coquimbo,Perinatal conditions,40
2004,Coquimbo,Respiratory diseases,349
2004,Coquimbo,Symptoms (unclassified),123
2004,Coquimbo,Tumors (Cancer),847
2004,La Araucanía,Circulatory diseases,1437
2004,La Araucanía,Congenital malformations,59
2004,La Araucanía,Digestive diseases,329
2004,La Araucanía,Endocrine/Metabolic,200
2004,La Araucanía,Genitourinary diseases,135
2004,La Araucanía,Infectious diseases,119
2004,La Araucanía,Mental disorders,151
2004,La Araucanía,Nervous system,130
2004,La Araucanía,Perinatal conditions,39
2004,La Araucanía,Respiratory diseases,556
2004,La Araucanía,Symptoms (unclassified),511
2004,La Araucanía,Tumors (Cancer),1266
2004,Libertador General Bernardo O'Higgins,Circulatory diseases,1201
2004,Libertador General Bernardo O'Higgins,Congenital malformations,43
2004,Libertador General Bernardo O'Higgins,Digestive diseases,368
2004,Libertador General Bernardo O'Higgins,Endocrine/Metabolic,226
2004,Libertador General Bernardo O'Higgins,Genitourinary diseases,130
2004,Libertador General Bernardo O'Higgins,Infectious diseases,78
2004,Libertador General Bernardo O'Higgins,Mental disorders,140
2004,Libertador General Bernardo O'Higgins,Nervous system,128
2004,Libertador General Bernardo O'Higgins,Perinatal conditions,64
2004,Libertador General Bernardo O'Higgins,Respiratory diseases,506
2004,Libertador General Bernardo O'Higgins,Symptoms (unclassified),173
2004,Libertador General Bernardo O'Higgins,Tumors (Cancer),1000
2004,Los Lagos,Circulatory diseases,1072
2004,Los Lagos,Congenital malformations,45
2004,Los Lagos,Digestive diseases,345
2004,Los Lagos,Endocrine/Metabolic,215
2004,Los Lagos,Genitourinary diseases,86
2004,Los Lagos,Infectious diseases,106
2004,Los Lagos,Mental disorders,111
2004,Los Lagos,Nervous system,102
2004,Los Lagos,Perinatal conditions,48
2004,Los Lagos,Respiratory diseases,480
2004,Los Lagos,Symptoms (unclassified),276
2004,Los Lagos,Tumors (Cancer),992
2004,Los Ríos,Circulatory diseases,631
2004,Los Ríos,Congenital malformations,19
2004,Los Ríos,Digestive diseases,140
2004,Los Ríos,Endocrine/Metabolic,111
2004,Los Ríos,Genitourinary diseases,74
2004,Los Ríos,Infectious diseases,49
2004,Los Ríos,Mental disorders,58
2004,Los Ríos,Nervous system,74
2004,Los Ríos,Perinatal conditions,19
2004,Los Ríos,Respiratory diseases,224
2004,Los Ríos,Symptoms (unclassified),117
2004,Los Ríos,Tumors (Cancer),518
2004,Magallanes y de la Antártica Chilena,Circulatory diseases,283
2004,Magallanes y de la Antártica Chilena,Congenital malformations,10
2004,Magallanes y de la Antártica Chilena,Digestive diseases,74
2004,Magallanes y de la Antártica Chilena,Endocrine/Metabolic,36
2004,Magallanes y de la Antártica Chilena,Genitourinary diseases,34
2004,Magallanes y de la Antártica Chilena,Infectious diseases,16
2004,Magallanes y de la Antártica Chilena,Mental disorders,33
2004,Magallanes y de la Antártica Chilena,Nervous system,20
2004,Magallanes y de la Antártica Chilena,Perinatal conditions,11
2004,Magallanes y de la Antártica Chilena,Respiratory diseases,81
2004,Magallanes y de la Antártica Chilena,Symptoms (unclassified),11
2004,Magallanes y de la Antártica Chilena,Tumors (Cancer),224
2004,Maule,Circulatory diseases,1914
2004,Maule,Congenital malformations,66
2004,Maule,Digestive diseases,495
2004,Maule,Endocrine/Metabolic,283
2004,Maule,Genitourinary diseases,170
2004,Maule,Infectious diseases,130
2004,Maule,Mental disorders,167
2004,Maule,Nervous system,125
2004,Maule,Perinatal conditions,60
2004,Maule,Respiratory diseases,683
2004,Maule,Symptoms (unclassified),131
2004,Maule,Tumors (Cancer),1638
2004,Región Metropolitana de Santiago,Circulatory diseases,9263
2004,Región Metropolitana de Santiago,Congenital malformations,377
2004,Región Metropolitana de Santiago,Digestive diseases,2559
2004,Región Metropolitana de Santiago,Endocrine/Metabolic,1825
2004,Región Metropolitana de Santiago,Genitourinary diseases,917
2004,Región Metropolitana de Santiago,Infectious diseases,684
2004,Región Metropolitana de Santiago,Mental disorders,1033
2004,Región Metropolitana de Santiago,Nervous system,850
2004,Región Metropolitana de Santiago,Perinatal conditions,309
2004,Región Metropolitana de Santiago,Respiratory diseases,3131
2004,Región Metropolitana de Santiago,Symptoms (unclassified),480
2004,Región Metropolitana de Santiago,Tumors (Cancer),8046
2004,Tarapacá,Circulatory diseases,289
2004,Tarapacá,Congenital malformations,19
2004,Tarapacá,Digestive diseases,93
2004,Tarapacá,Endocrine/Metabolic,51
2004,Tarapacá,Genitourinary diseases,36
2004,Tarapacá,Infectious diseases,33
2004,Tarapacá,Mental disorders,62
2004,Tarapacá,Nervous system,24
2004,Tarapacá,Perinatal conditions,7
2004,Tarapacá,Respiratory diseases,89
2004,Tarapacá,Symptoms (unclassified),32
2004,Tarapacá,Tumors (Cancer),269
2004,Valparaíso,Circulatory diseases,3171
2004,Valparaíso,Congenital malformations,102
2004,Valparaíso,Digestive diseases,667
2004,Valparaíso,Endocrine/Metabolic,458
2004,Valparaíso,Genitourinary diseases,376
2004,Valparaíso,Infectious diseases,197
2004,Valparaíso,Mental disorders,330
2004,Valparaíso,Nervous system,274
2004,Valparaíso,Perinatal conditions,70
2004,Valparaíso,Respiratory diseases,864
2004,Valparaíso,Symptoms (unclassified),208
2004,Valparaíso,Tumors (Cancer),2544
2004,Ñuble,Circulatory diseases,854
2004,Ñuble,Congenital malformations,27
2004,Ñuble,Digestive diseases,253
2004,Ñuble,Endocrine/Metabolic,135
2004,Ñuble,Genitourinary diseases,88
2004,Ñuble,Infectious diseases,63
2004,Ñuble,Mental disorders,87
2004,Ñuble,Nervous system,65
2004,Ñuble,Perinatal conditions,16
2004,Ñuble,Respiratory diseases,291
2004,Ñuble,Symptoms (unclassified),66
2004,Ñuble,Tumors (Cancer),667
2005,Aisén del General Carlos Ibáñez del Campo,Circulatory diseases,112
2005,Aisén del General Carlos Ibáñez del Campo,Congenital malformations,3
2005,Aisén del General Carlos Ibáñez del Campo,Digestive diseases,32
2005,Aisén del General Carlos Ibáñez del Campo,Endocrine/Metabolic,18
2005,Aisén del General Carlos Ibáñez del Campo,Genitourinary diseases,13
2005,Aisén del General Carlos Ibáñez del Campo,Infectious diseases,7
2005,Aisén del General Carlos Ibáñez del Campo,Mental disorders,13
2005,Aisén del General Carlos Ibáñez del Campo,Nervous system,7
2005,Aisén del General Carlos Ibáñez del Campo,Perinatal conditions,4
2005,Aisén del General Carlos Ibáñez del Campo,Respiratory diseases,34
2005,Aisén del General Carlos Ibáñez del Campo,Symptoms (unclassified),15
2005,Aisén del General Carlos Ibáñez del Campo,Tumors (Cancer),112
2005,Antofagasta,Circulatory diseases,621
2005,Antofagasta,Congenital malformations,36
2005,Antofagasta,Digestive diseases,155
